,player_id,Season,Date,Left,Joined,MV,Fee
5165,463620,17/18,"Jul1,2017",Olymp.LyonU19,OlympiqueLyon,-,-
5166,140803,21/22,"Apr4,2022",FCNantes,WithoutClub,€1.50m,-
5167,140803,19/20,"Dec31,2019",StandardLiège,FCNantes,€5.00m,Endofloan
5168,140803,19/20,"Jul1,2019",FCNantes,StandardLiège,€6.00m,Loanfee:€1.00m
5169,140803,18/19,"Aug23,2018",ClubBrugge,FCNantes,€8.00m,€8.25m
5170,140803,16/17,"Jul23,2016",NECNijmegen,ClubBrugge,€2.50m,€2.30m
5171,548650,21/22,"Jun30,2022",FCNantes,KAAGent,€3.00m,Endofloan
5172,548650,21/22,"Aug12,2021",KAAGent,FCNantes,€2.50m,loantransfer
5173,548650,20/21,"Sep4,2020",ASTrencin,KAAGent,€1.10m,€1.00m
5174,548650,18/19,"Jul9,2018",AccraLions,ASTrencin,-,€60k
5175,548650,17/18,"Jun30,2018",AnderlechtU21,AccraLions,-,Endofloan
5176,548650,17/18,"Jan1,2018",AccraLions,AnderlechtU21,-,loantransfer
5177,353365,19/20,"Jul16,2019",Guingamp,FCNantes,€3.00m,€3.00m
5178,353365,15/16,"Jul1,2015",EAGuingampB,Guingamp,-,-
5179,487969,19/20,"Jun30,2020",USBoulogne,FCNantes,€300k,Endofloan
5180,487969,19/20,"Aug22,2019",FCNantes,USBoulogne,€300k,loantransfer
5181,487969,17/18,"Jul1,2017",FCNantesB,FCNantes,-,-
5182,487969,16/17,"Jul1,2016",FCNantesU19,FCNantesB,-,-
5183,487969,15/16,"Dec1,2015",USTorcyYth.,FCNantesU19,-,freetransfer
5184,184935,17/18,"Aug18,2017",KAAGent,FCNantes,€3.00m,€4.50m
5185,184935,15/16,"Jul1,2015",RSCCharleroi,KAAGent,€1.00m,€500k
5186,264956,20/21,"Oct5,2020",Leeds,FCNantes,€6.00m,freetransfer
5187,264956,20/21,"Jul1,2020",RBLeipzig,Leeds,€9.50m,€21.00m
5188,264956,19/20,"Jun30,2020",Leeds,RBLeipzig,€9.50m,Endofloan
5189,264956,19/20,"Jan27,2020",RBLeipzig,Leeds,€14.00m,loantransfer
5190,264956,19/20,"Jan26,2020",Monaco,RBLeipzig,€14.00m,Endofloan
5191,264956,19/20,"Sep1,2019",RBLeipzig,Monaco,€16.00m,Loanfee:€4.00m
5192,264956,17/18,"Jul6,2017",ParisSG,RBLeipzig,€3.00m,€16.00m
5193,168471,21/22,"Jan13,2022",FCNantes,StandardLiège,€1.50m,€200k
5194,168471,19/20,"Jan9,2020",StandardLiège,FCNantes,€4.50m,€4.00m
5195,168471,15/16,"Aug31,2015",Waasl.-Beveren,StandardLiège,€1.50m,?
5196,696849,20/21,"Jan1,2021",Saint-ÉtienneB,Saint-Étienne,€150k,-
5197,696849,19/20,"Jul1,2019",St-ÉtienneU19,Saint-ÉtienneB,-,-
5198,318507,21/22,"Jun30,2022",Saint-Étienne,AngersSCO,€7.00m,Endofloan
5199,318507,21/22,"Jan5,2022",AngersSCO,Saint-Étienne,€10.00m,loantransfer
5200,318507,20/21,"Jul1,2020",G.Bordeaux,AngersSCO,€5.50m,€7.50m
5201,318507,19/20,"Jun30,2020",NîmesOlympique,G.Bordeaux,€5.50m,Endofloan
5202,318507,18/19,"Jul6,2018",G.Bordeaux,NîmesOlympique,€2.00m,loantransfer
5203,318507,17/18,"Jun30,2018",ClermontFoot,G.Bordeaux,€2.00m,Endofloan
5204,318507,17/18,"Jul1,2017",G.Bordeaux,ClermontFoot,€800k,loantransfer
5205,318507,16/17,"Jul1,2016",Troyes,G.Bordeaux,€1.25m,€2.50m
5206,318507,15/16,"Jun30,2016",G.Bordeaux,Troyes,€1.25m,Endofloan
5207,318507,15/16,"Jan31,2016",Troyes,G.Bordeaux,€150k,loantransfer
5208,465836,21/22,"Feb4,2022",Saint-Étienne,PauFC,€2.00m,freetransfer
5209,465836,19/20,"Jul1,2019",Saint-ÉtienneB,Saint-Étienne,€150k,-
5210,465836,18/19,"Jul1,2018",St-ÉtienneU19,Saint-ÉtienneB,-,-
5211,836132,20/21,"Jan5,2021",GuédiawayeFC,Saint-Étienne,-,freetransfer
5212,836132,19/20,"Jul1,2019",Unknown,GuédiawayeFC,-,-
5213,272636,19/20,"Jun30,2020",Middlesbrough,Saint-Étienne,€3.20m,Endofloan
5214,272636,19/20,"Jan31,2020",Saint-Étienne,Middlesbrough,€4.00m,loantransfer
5215,272636,19/20,"Jul1,2019",ACLeHavre,Saint-Étienne,€3.00m,freetransfer
5216,272636,16/17,"Jul1,2016",LeHavreB,ACLeHavre,€50k,-
5217,272636,15/16,"Jul1,2015",LeHavreU19,LeHavreB,-,-
5218,807128,20/21,"Jul1,2020",St-ÉtienneU19,Saint-Étienne,-,-
5219,494586,20/21,"Jun30,2021",QuevillyRouen,Saint-Étienne,€500k,Endofloan
5220,494586,20/21,"Jul21,2020",Saint-Étienne,QuevillyRouen,-,loantransfer
5221,494586,20/21,"Jul1,2020",Saint-ÉtienneB,Saint-Étienne,-,-
5222,494586,16/17,"Jul1,2016",St-ÉtienneU19,Saint-ÉtienneB,-,-
5223,84085,20/21,"Jul1,2020",TigresUANL,Saint-Étienne,€4.80m,€4.50m
5224,84085,19/20,"Jun30,2020",Saint-Étienne,TigresUANL,€4.80m,Endofloan
5225,84085,18/19,"Aug1,2018",TigresUANL,Saint-Étienne,€2.50m,loantransfer
5226,84085,17/18,"Sep5,2017",Bor.M'gladbach,TigresUANL,€6.00m,€5.00m
5227,84085,16/17,"Jan4,2017",SevillaFC,Bor.M'gladbach,€7.00m,€7.50m
5228,90681,21/22,"Jan20,2022",WithoutClub,Saint-Étienne,€2.00m,-
5229,90681,21/22,"Jul1,2021",Valencia,WithoutClub,€2.50m,-
