,player_id,market_value_y,main_position,club full name,Score,Score_Rank,market_value_Rank
1523,91317,4000000.0,midfield Defensive Midfield,Burnley FC,56.01,437.0,4335.5
2305,131275,1500000.0,Attack Centre Forward,Cádiz CF,52.2,506.0,2580.5
4553,286415,1500000.0,Goalkeeper,Olympique Marseille,52.06,511.5,2580.5
6886,505219,7000000.0,midfield Defensive Midfield,Nottingham Forest,51.51,521.0,5474.0
3831,237658,3500000.0,midfield Central Midfield,BSC Young Boys,51.4,524.0,4062.5
144,23951,1500000.0,Goalkeeper,Olympique Marseille,50.599999999999994,542.0,2580.5
3792,234811,1000000.0,Goalkeeper,Real Betis Balompié,50.25,554.5,2072.5
142,22328,3000000.0,Attack Centre Forward,UC Sampdoria,49.82,574.5,3757.0
4179,257814,6000000.0,Goalkeeper,Borussia Dortmund,49.67,581.0,5158.5
5181,333647,1800000.0,Attack Centre Forward,1.FSV Mainz 05,49.35,589.5,2828.5
1000,64399,5000000.0,Goalkeeper,Crystal Palace,49.27,592.0,4807.5
1340,80894,7000000.0,Goalkeeper,Bologna FC 1909,49.17,594.0,5474.0
8014,703245,150000.0,midfield Attacking Midfield,Napoli Primavera,48.11,616.0,345.0
2100,125714,2500000.0,Goalkeeper,SC Freiburg,48.089999999999996,620.0,3398.0
4087,252677,6000000.0,Attack Centre Forward,Levante UD,47.97,629.0,5158.5
5717,365108,4000000.0,Attack Right Winger,FC Basel 1893,47.879999999999995,633.0,4335.5
77,16911,4000000.0,Goalkeeper,Leicester City,47.4,644.5,4335.5
250,31835,7000000.0,midfield Central Midfield,West Ham United,47.12,657.0,5474.0
3633,222209,4500000.0,Goalkeeper,SS Lazio,47.08,658.0,4554.5
3035,182916,6000000.0,Attack Centre Forward,RC Lens,46.72,665.0,5158.5
295,34370,2000000.0,Goalkeeper,RCD Espanyol Barcelona,46.67,669.0,3021.0
7833,656441,5000000.0,midfield Defensive Midfield,FC Girondins Bordeaux,46.6,672.0,4807.5
1799,108880,1500000.0,Goalkeeper,VfL Wolfsburg,46.39,682.0,2580.5
1877,111873,2800000.0,Goalkeeper,Aston Villa,45.25,711.5,3567.0
4644,290532,600000.0,Attack Left Winger,West Ham United,45.2,713.0,1457.5
1645,96254,1500000.0,Goalkeeper,ACF Fiorentina,43.91,745.0,2580.5
8310,924800,100000.0,midfield Attacking Midfield,Stade Brest 29 B,43.71,748.0,168.5
836,57825,2000000.0,Attack Centre Forward,Granada CF,43.47,753.0,3021.0
7568,613539,100000.0,midfield Defensive Midfield,Lazio U19,43.41,757.0,168.5
2651,160963,5000000.0,Goalkeeper,1.FSV Mainz 05,43.31,761.5,4807.5
446,41323,900000.0,Goalkeeper,1.FC Union Berlin,42.480000000000004,786.5,1865.5
235,30321,2000000.0,midfield Attacking Midfield,Rayo Vallecano,42.33,790.5,3021.0
98,18934,3500000.0,midfield Central Midfield,Angers SCO,42.24,793.5,4062.5
576,45660,5000000.0,Attack Centre Forward,Bayern Munich,41.9,813.0,4807.5
