Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
1803,469949,21/22,"Jan18,2022",1.FCKöln,FCBasel,€2.50m,loantransfer
1804,469949,19/20,"Jul1,2019",1.FCKölnU19,1.FCKöln,€100k,-
1805,469949,17/18,"Jul1,2017",1.FCKölnU17,1.FCKölnU19,-,-
1806,469949,16/17,"Oct17,2016",1.FCKölnYth.,1.FCKölnU17,-,-
1807,160968,18/19,"Jul1,2018",RBLeipzig,1.FCKöln,€1.00m,€200k
1808,160968,16/17,"Jul1,2016",RBSalzburg,RBLeipzig,€900k,€800k
1809,272812,19/20,"Jul1,2019",PECZwolle,1.FCKöln,€2.00m,€2.00m
1810,244940,19/20,"Jun30,2020",HolsteinKiel,1.FCKöln,€2.70m,Endofloan
1811,244940,19/20,"Aug23,2019",1.FCKöln,HolsteinKiel,€2.00m,loantransfer
1812,244940,16/17,"Jul1,2016",1.FCKölnII,1.FCKöln,-,-
1813,244940,15/16,"Jan1,2016",1.FCKölnU19,1.FCKölnII,-,-
1814,244940,15/16,"Jul1,2015",1.FCKölnU17,1.FCKölnU19,-,-
1815,290587,19/20,"Jul29,2019",Montpellier,1.FCKöln,€12.00m,€6.00m
1816,290587,15/16,"Jul1,2015",MontpellierB,Montpellier,-,-
1817,287188,21/22,"Jul1,2021",RapidVienna,1.FCKöln,€3.00m,freetransfer
1818,287188,17/18,"Aug22,2017",WienerNeustadt,RapidVienna,€250k,Endofloan
1819,287188,17/18,"Jul10,2017",RapidVienna,WienerNeustadt,-,loantransfer
1820,287188,17/18,"Jul1,2017",RapidWienII,RapidVienna,-,-
1821,287188,15/16,"Jul1,2015",AKARapidU18,RapidWienII,-,-
1822,205544,20/21,"Jun30,2021",HolsteinKiel,1.FCKöln,€700k,Endofloan
1823,205544,20/21,"Jul1,2020",1.FCKöln,HolsteinKiel,€800k,loantransfer
1824,205544,18/19,"Jul1,2018",DynamoDresden,1.FCKöln,€1.50m,€3.40m
1825,205544,15/16,"Jul1,2015",D.DresdenU19,DynamoDresden,€50k,-
1826,490581,21/22,"Feb4,2022",1.FCKölnII,1.FCKöln,€150k,-
1827,490581,20/21,"Jul1,2020",1.FCKölnU19,1.FCKölnII,-,-
1828,490581,19/20,"Jul1,2019",Eint.TrierU19,1.FCKölnU19,-,freetransfer
1829,490581,18/19,"Jul1,2018",Eint.TrierU17,Eint.TrierU19,-,-
1830,490581,17/18,"Jul1,2017",Mamer32U17,Eint.TrierU17,-,freetransfer
1831,490581,16/17,"Jun30,2017",RFCULuxem.U17,Mamer32U17,-,Endofloan
1832,490581,15/16,"Jan1,2016",Mamer32U17,RFCULuxem.U17,-,loantransfer
1833,153678,20/21,"Jun30,2021",Hannover96,1.FCKöln,€800k,Endofloan
1834,153678,20/21,"Aug6,2020",1.FCKöln,Hannover96,€1.60m,loantransfer
1835,153678,19/20,"Jul1,2019",HolsteinKiel,1.FCKöln,€3.00m,freetransfer
1836,153678,16/17,"Jul1,2016",HoffenheimII,HolsteinKiel,€125k,freetransfer
1837,232418,20/21,"Sep16,2020",HerthaBSC,1.FCKöln,€7.00m,€7.00m
1838,232418,19/20,"Jul11,2020",Norwich,HerthaBSC,€10.50m,Endofloan
1839,232418,19/20,"Jan12,2020",HerthaBSC,Norwich,€13.00m,loantransfer
1840,232418,16/17,"Jul20,2016",LegiaWarszawa,HerthaBSC,€3.20m,€4.20m
1841,147485,20/21,"Jun30,2021",FCLuzern,1.FCKöln,€2.00m,Endofloan
1842,147485,20/21,"Sep16,2020",1.FCKöln,FCLuzern,€2.00m,loantransfer
1843,147485,19/20,"Jun30,2020",HamburgerSV,1.FCKöln,€3.20m,Endofloan
1844,147485,19/20,"Jan11,2020",1.FCKöln,HamburgerSV,€4.00m,loantransfer
1845,147485,18/19,"Jul1,2018",RapidVienna,1.FCKöln,€4.00m,€3.50m
1846,428189,20/21,"Jun30,2021",Karvina,1.FCKöln,€750k,Endofloan
1847,428189,20/21,"Aug7,2020",1.FCKöln,Karvina,€200k,loantransfer
1848,428189,19/20,"Jul31,2020",TSVHartberg,1.FCKöln,€200k,Endofloan
1849,428189,19/20,"Jul2,2019",1.FCKöln,TSVHartberg,€100k,loantransfer
1850,428189,19/20,"Jul1,2019",1.FCKölnU19,1.FCKöln,€100k,-
1851,428189,17/18,"Jul1,2017",1.FCKölnU17,1.FCKölnU19,-,-
1852,428189,16/17,"Jul1,2016",FrydekU19,1.FCKölnU17,-,freetransfer
1853,106270,18/19,"Jan18,2019",WerderBremen,1.FCKöln,€4.00m,€3.00m
1854,106270,16/17,"Jul1,2016",RapidVienna,WerderBremen,€4.50m,€3.50m
1855,522084,21/22,"Jul1,2021",1.FCKölnII,1.FCKöln,€300k,-
1856,522084,20/21,"Nov1,2020",1.FCKölnU19,1.FCKölnII,-,-
1857,522084,19/20,"Jul1,2019",1.FCKölnU17,1.FCKölnU19,-,-
1858,522084,17/18,"Jul1,2017",1.FCKölnYth.,1.FCKölnU17,-,-
1859,472249,19/20,"Jan17,2020",1.FCKölnU19,1.FCKöln,€250k,-
1860,472249,19/20,"Jul1,2019",1.FCKölnU17,1.FCKölnU19,-,-
1861,472249,17/18,"Jul1,2017",E.TrierYth.,1.FCKölnU17,-,freetransfer
1862,112935,21/22,"Jul1,2021",FCSchalke04,1.FCKöln,€3.00m,freetransfer
1863,112935,19/20,"Jun30,2020",1.FCKöln,FCSchalke04,€6.00m,Endofloan
1864,112935,19/20,"Jan3,2020",FCSchalke04,1.FCKöln,€5.50m,loantransfer
1865,112935,18/19,"Jul1,2018",TSGHoffenheim,FCSchalke04,€18.00m,freetransfer
1866,112935,15/16,"Jul2,2015",Heerenveen,TSGHoffenheim,€2.50m,€2.20m
1867,50512,20/21,"Jun30,2021",Saint-Étienne,1.FCKöln,€1.50m,Endofloan
1868,50512,20/21,"Feb1,2021",1.FCKöln,Saint-Étienne,€2.80m,loantransfer
1869,50512,18/19,"Nov17,2018",WithoutClub,1.FCKöln,€16.00m,-
1870,50512,18/19,"Aug7,2018",TJTianhai,WithoutClub,€16.00m,-
1871,50512,18/19,"Jul1,2018",1.FCKöln,TJTianhai,€16.00m,€29.00m
1872,50512,17/18,"Jun30,2018",TJQuanjian,1.FCKöln,€16.00m,Endofloan
1873,50512,17/18,"Jul12,2017",1.FCKöln,TJQuanjian,€20.00m,Loanfee:€5.70m
