player_name,signed_from,discription
Andre Green,Aston Villa U23,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Charles N'Zogbia,Wigan Athletic,Heart Condition - Return unknown
Rushian Hepburn-Murphy,Aston Villa U23,none
Jordan Ayew,FC Lorient,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Gabriel Agbonlahor,Aston Villa U18,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Callum Robinson,Aston Villa U21,Biceps femoris muscle injury - Return unknown
Rushian Hepburn-Murphy,Aston Villa U23,none
Keinan Davis,Aston Villa U23,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Declan Rudd,Norwich City U18,none
Jamar Loza,Norwich City U21,none
Remi Matthews,Norwich City U18,none
Jamar Loza,Norwich City U21,none
Sébastien Bassong,Tottenham Hotspur,none
Jamar Loza,Norwich City U21,none
Michael Turner,Sunderland AFC,none
Jamar Loza,Norwich City U21,none
Martin Olsson,Blackburn Rovers,none
Jamar Loza,Norwich City U21,none
Ivo Pinto,GNK Dinamo Zagreb,none
Jamar Loza,Norwich City U21,none
Steven Whittaker,Rangers FC,none
Jamar Loza,Norwich City U21,none
Youssouf Mulumbu,West Bromwich Albion,none
Jamar Loza,Norwich City U21,none
Vadis Odjidja-Ofoe,Club Brugge KV,none
Jamar Loza,Norwich City U21,none
Graham Dorrans,West Bromwich Albion,none
Jamar Loza,Norwich City U21,none
Tony Andreu,Hamilton Academical FC,none
Jamar Loza,Norwich City U21,none
Conor McGrandles,Falkirk FC,none
Jamar Loza,Norwich City U21,none
Robbie Brady,Hull City,none
Jamar Loza,Norwich City U21,none
James Maddison,Coventry City,none
Jamar Loza,Norwich City U21,none
Josh Murphy,Norwich City U18,none
Jamar Loza,Norwich City U21,none
Jacob Murphy,Norwich City U18,none
Jamar Loza,Norwich City U21,none
Dieumerci Mbokani,Dynamo Kyiv,none
Jamar Loza,Norwich City U21,none
Lewis Grabban,AFC Bournemouth,none
Jamar Loza,Norwich City U21,none
Cameron Jerome,Stoke City,none
Jamar Loza,Norwich City U21,none
Kyle Lafferty,US Palermo,none
Jamar Loza,Norwich City U21,none
Boaz Myhill,Hull City,none
Tyler Roberts,none,none
Jack Rose,none,none
Tyler Roberts,none,none
Jonny Evans,Manchester United,Calf Injury - Return unknown
Tyler Roberts,none,none
Craig Dawson,Rochdale AFC,none
Tyler Roberts,none,none
Jonas Olsson,NEC Nijmegen,none
Tyler Roberts,none,none
Shaun Donnellan,none,none
Tyler Roberts,none,none
Cristian Gamboa,Rosenborg BK,none
Tyler Roberts,none,none
Claudio Yacob,Racing Club,none
Tyler Roberts,none,none
James Morrison,Middlesbrough FC,none
Tyler Roberts,none,none
Craig Gardner,Sunderland AFC,none
Tyler Roberts,none,none
James McClean,Wigan Athletic,none
Tyler Roberts,none,none
Stéphane Sessègnon,Sunderland AFC,none
Tyler Roberts,none,none
Joe Ward,none,none
Tyler Roberts,none,none
Serge Gnabry,Arsenal FC,none
Tyler Roberts,none,none
Salomón Rondón,Zenit St. Petersburg,none
Tyler Roberts,none,none
Brown Ideye,Dynamo Kyiv,none
Tyler Roberts,none,none
Victor Anichebe,Everton FC,none
Tyler Roberts,none,none
Vito Mannone,Arsenal FC,none
