Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
Fortuna Düsseldorf,38,Germany,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2018,2018,€600k,€7.50m ,€-6.90m ,19,21
Hannover 96,42,Germany,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2018,2018,€13.54m,€18.52m ,€-4.98m ,17,20
1.FC Nuremberg,4,Germany,https://www.transfermarkt.com/1-fc-nurnberg/startseite/verein/4/saison_id/2018,2018,0,€4.85m ,€-4.85m ,9,11
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2019,2019,€54.00m,€139.50m ,€-85.50m ,8,10
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2019,2019,€132.25m,€148.50m ,€-16.25m ,16,17
RB Leipzig,23826,Germany,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019,2019,€45.25m,€86.50m ,€-41.25m ,12,15
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2019,2019,€33.50m,€98.20m ,€-64.70m ,10,9
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2019,2019,€34.10m,€40.50m ,€-6.40m ,9,6
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2019,2019,€121.40m,€55.85m ,+€65.55m,22,22
FC Schalke 04,33,Germany,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2019,2019,€19.45m,€29.50m ,€-10.05m ,16,13
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2019,2019,€23.45m,€110.70m ,€-87.26m ,16,15
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2019,2019,€114.80m,€82.64m ,+€32.17m,26,22
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2019,2019,€14.30m,€34.80m ,€-20.50m ,15,14
SV Werder Bremen,86,Germany,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2019,2019,0,€13.95m ,€-13.95m ,14,17
SC Freiburg,60,Germany,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2019,2019,€8.10m,€17.50m ,€-9.40m ,15,15
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2019,2019,€27.00m,€29.70m ,€-2.70m ,16,15
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2019,2019,€20.00m,€33.00m ,€-13.00m ,19,20
1.FC Köln,3,Germany,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2019,2019,€6.85m,€20.25m ,€-13.40m ,18,18
Fortuna Düsseldorf,38,Germany,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2019,2019,€11.60m,€11.15m ,+€450k,16,18
1.FC Union Berlin,89,Germany,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2019,2019,€1.25m,€10.05m ,€-8.80m ,16,22
SC Paderborn 07,127,Germany,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2019,2019,€5.80m,€750k ,+€5.05m,21,21
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2020,2020,€22.25m,€66.25m ,€-44.00m ,13,12
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2020,2020,€5.50m,€50.00m ,€-44.50m ,10,12
RB Leipzig,23826,Germany,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2020,2020,€77.50m,€58.00m ,+€19.50m,13,11
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2020,2020,€91.00m,€46.20m ,+€44.80m,7,13
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2020,2020,0,€13.50m ,€-13.50m ,8,13
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2020,2020,€17.70m,€10.75m ,+€6.95m,22,20
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2020,2020,€11.10m,€22.00m ,€-10.90m ,13,12
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2020,2020,€10.45m,€31.25m ,€-20.80m ,18,18
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2020,2020,€17.75m,€4.00m ,+€13.75m,12,18
VfB Stuttgart,79,Germany,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2020,2020,€7.50m,€14.95m ,€-7.45m ,13,16
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2020,2020,€13.70m,€2.00m ,+€11.70m,15,14
SC Freiburg,60,Germany,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2020,2020,€37.95m,€14.35m ,+€23.60m,17,14
FC Schalke 04,33,Germany,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2020,2020,€8.00m,€2.00m ,+€6.00m,19,24
1.FC Köln,3,Germany,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2020,2020,€15.00m,€18.50m ,€-3.50m ,19,21
SV Werder Bremen,86,Germany,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2020,2020,€11.70m,€11.00m ,+€700k,22,19
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2020,2020,€8.40m,€10.30m ,€-1.90m ,17,11
1.FC Union Berlin,89,Germany,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2020,2020,€6.92m,€1.70m ,+€5.22m,25,22
Arminia Bielefeld,10,Germany,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10/saison_id/2020,2020,€100k,€500k ,€-400k ,16,15
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2021,2021,€4.00m,€57.50m ,€-53.50m ,12,15
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2021,2021,€109.50m,€45.00m ,+€64.50m,9,10
RB Leipzig,23826,Germany,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,2021,€113.50m,€107.62m ,+€5.88m,18,17
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2021,2021,€43.10m,€55.35m ,€-12.25m ,16,12
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2021,2021,€22.70m,€76.18m ,€-53.48m ,21,24
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2021,2021,€10.20m,€17.00m ,€-6.80m ,15,10
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2021,2021,€28.40m,€13.45m ,+€14.95m,20,22
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2021,2021,€850k,                    0                ,+€850k,14,14
SC Freiburg,60,Germany,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2021,2021,€14.55m,€9.50m ,+€5.05m,12,14
VfB Stuttgart,79,Germany,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2021,2021,€40.92m,€14.85m ,+€26.07m,15,15
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2021,2021,€52.50m,€27.40m ,+€25.10m,19,18
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2021,2021,€18.05m,€6.90m ,+€11.15m,18,15
1.FC Union Berlin,89,Germany,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2021,2021,€19.55m,€20.10m ,€-550k ,26,23
1.FC Köln,3,Germany,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2021,2021,€23.45m,€550k ,+€22.90m,23,21
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2021,2021,€12.80m,€24.06m ,€-11.26m ,11,13
Arminia Bielefeld,10,Germany,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10/saison_id/2021,2021,€500k,€9.44m ,€-8.94m ,25,23
VfL Bochum,80,Germany,https://www.transfermarkt.com/vfl-bochum/startseite/verein/80/saison_id/2021,2021,€350k,                    0                ,+€350k,9,13
SpVgg Greuther Fürth,65,Germany,https://www.transfermarkt.com/spvgg-greuther-furth/startseite/verein/65/saison_id/2021,2021,€3.55m,€1.40m ,+€2.15m,15,18
Paris Saint-Germain,583,France,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2015,2015,€22.90m,€116.10m ,€-93.20m ,11,9
AS Monaco,162,France,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2015,2015,€175.40m,€101.00m ,+€74.40m,28,30
Olympique Lyon,1041,France,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2015,2015,€26.80m,€41.10m ,€-14.30m ,13,11
Olympique Marseille,244,France,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2015,2015,€54.45m,€19.75m ,+€34.70m,18,23
AS Saint-Étienne,618,France,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2015,2015,€23.20m,€20.30m ,+€2.90m,13,16
Stade Rennais FC,273,France,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2015,2015,€10.60m,€5.64m ,+€4.96m,19,18
FC Girondins Bordeaux,40,France,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2015,2015,€22.30m,€11.00m ,+€11.30m,13,13
OGC Nice,417,France,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2015,2015,€14.00m,€4.10m ,+€9.90m,19,21
LOSC Lille,1082,France,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2015,2015,€35.25m,€12.90m ,+€22.35m,18,23
FC Lorient,1158,France,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2015,2015,€18.50m,€9.93m ,+€8.58m,15,14
Montpellier HSC,969,France,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2015,2015,€4.00m,€2.73m ,+€1.28m,8,11
Stade Reims,1421,France,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2015,2015,€1.50m,€2.40m ,€-900k ,10,13
FC Toulouse,415,France,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2015,2015,€10.50m,€2.90m ,+€7.60m,12,10
FC Nantes,995,France,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2015,2015,€17.55m,€7.00m ,+€10.55m,14,14
SM Caen,1162,France,https://www.transfermarkt.com/sm-caen/startseite/verein/1162/saison_id/2015,2015,€14.00m,€6.05m ,+€7.95m,16,21
EA Guingamp,855,France,https://www.transfermarkt.com/ea-guingamp/startseite/verein/855/saison_id/2015,2015,€6.00m,€1.95m ,+€4.05m,12,15
Angers SCO,1420,France,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2015,2015,€5.90m,                    0                ,+€5.90m,20,23
ESTAC Troyes,1095,France,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095/saison_id/2015,2015,€7.30m,€300k ,+€7.00m,16,16
SC Bastia,595,France,https://www.transfermarkt.com/sc-bastia/startseite/verein/595/saison_id/2015,2015,€1.70m,                    0                ,+€1.70m,16,13
GFC Ajaccio,3558,France,https://www.transfermarkt.com/gfc-ajaccio/startseite/verein/3558/saison_id/2015,2015,0,                    0                ,-0,10,9
Paris Saint-Germain,583,France,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2016,2016,€59.80m,€134.50m ,€-74.70m ,14,14
AS Monaco,162,France,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2016,2016,€18.45m,€50.50m ,€-32.05m ,25,25
Olympique Lyon,1041,France,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2016,2016,€27.30m,€28.60m ,€-1.30m ,13,12
OGC Nice,417,France,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2016,2016,€15.80m,€15.25m ,+€550k,19,21
Olympique Marseille,244,France,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2016,2016,€81.49m,€53.00m ,+€28.49m,24,26
FC Girondins Bordeaux,40,France,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2016,2016,€2.60m,€11.85m ,€-9.25m ,14,13
AS Saint-Étienne,618,France,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2016,2016,€2.25m,€7.00m ,€-4.75m ,14,15
LOSC Lille,1082,France,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2016,2016,€47.00m,€20.70m ,+€26.30m,25,21
Stade Rennais FC,273,France,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2016,2016,€55.30m,€2.27m ,+€53.03m,21,23
FC Toulouse,415,France,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2016,2016,€10.00m,€13.00m ,€-3.00m ,15,19
FC Lorient,1158,France,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2016,2016,€32.15m,€8.60m ,+€23.55m,20,25
Montpellier HSC,969,France,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2016,2016,€19.40m,€6.40m ,+€13.00m,16,14
FC Nantes,995,France,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2016,2016,€2.65m,€5.00m ,€-2.36m ,12,13
Angers SCO,1420,France,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2016,2016,€4.40m,€5.20m ,€-800k ,20,22
EA Guingamp,855,France,https://www.transfermarkt.com/ea-guingamp/startseite/verein/855/saison_id/2016,2016,€2.50m,                    0                ,+€2.50m,17,16
FC Metz,347,France,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2016,2016,€775k,€400k ,+€375k,27,26
SM Caen,1162,France,https://www.transfermarkt.com/sm-caen/startseite/verein/1162/saison_id/2016,2016,€11.00m,€4.25m ,+€6.75m,11,11
SC Bastia,595,France,https://www.transfermarkt.com/sc-bastia/startseite/verein/595/saison_id/2016,2016,€7.00m,€250k ,+€6.75m,17,17
AS Nancy-Lorraine,1159,France,https://www.transfermarkt.com/as-nancy-lorraine/startseite/verein/1159/saison_id/2016,2016,€10.90m,€2.30m ,+€8.60m,9,14
Dijon FCO,2969,France,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2016,2016,€1.25m,€3.15m ,€-1.90m ,15,14
Paris Saint-Germain,583,France,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2017,2017,€98.40m,€238.00m ,€-139.60m ,14,11
AS Monaco,162,France,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2017,2017,€199.50m,€122.40m ,+€77.10m,21,25
Olympique Lyon,1041,France,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2017,2017,€119.55m,€58.05m ,+€61.50m,19,20
Olympique Marseille,244,France,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2017,2017,€2.75m,€62.00m ,€-59.25m ,21,17
OGC Nice,417,France,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2017,2017,€27.50m,€26.30m ,+€1.20m,19,15
FC Girondins Bordeaux,40,France,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2017,2017,€28.25m,€32.60m ,€-4.35m ,23,25
Stade Rennais FC,273,France,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2017,2017,€15.80m,€53.90m ,€-38.10m ,21,19
FC Toulouse,415,France,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2017,2017,€13.00m,€3.50m ,+€9.50m,15,11
AS Saint-Étienne,618,France,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2017,2017,€15.50m,€19.30m ,€-3.80m ,22,19
FC Nantes,995,France,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2017,2017,€10.00m,€11.30m ,€-1.30m ,11,14
LOSC Lille,1082,France,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2017,2017,€31.10m,€76.50m ,€-45.40m ,27,31
Montpellier HSC,969,France,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2017,2017,€20.80m,€5.70m ,+€15.10m,16,13
Dijon FCO,2969,France,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2017,2017,€15.00m,€5.50m ,+€9.50m,13,12
Amiens SC,1416,France,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2017,2017,€8.00m,€6.63m ,+€1.37m,15,18
Angers SCO,1420,France,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2017,2017,€26.00m,€12.40m ,+€13.60m,20,18
SM Caen,1162,France,https://www.transfermarkt.com/sm-caen/startseite/verein/1162/saison_id/2017,2017,€6.00m,€6.95m ,€-950k ,16,16
EA Guingamp,855,France,https://www.transfermarkt.com/ea-guingamp/startseite/verein/855/saison_id/2017,2017,€5.95m,€1.38m ,+€4.58m,16,15
FC Metz,347,France,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2017,2017,€22.85m,€3.60m ,+€19.25m,20,23
RC Strasbourg Alsace,667,France,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2017,2017,€2.00m,€5.40m ,€-3.40m ,15,15
ESTAC Troyes,1095,France,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095/saison_id/2017,2017,0,                    0                ,-0,11,9
Paris Saint-Germain,583,France,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2018,2018,€114.00m,€262.00m ,€-148.00m ,18,20
Olympique Lyon,1041,France,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2018,2018,€90.10m,€46.45m ,+€43.65m,17,18
AS Monaco,162,France,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2018,2018,€367.25m,€145.85m ,+€221.40m,27,37
LOSC Lille,1082,France,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2018,2018,€69.70m,€8.90m ,+€60.80m,19,15
Olympique Marseille,244,France,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2018,2018,€32.85m,€66.00m ,€-33.15m ,10,13
OGC Nice,417,France,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2018,2018,€61.70m,€28.00m ,+€33.70m,12,13
FC Girondins Bordeaux,40,France,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2018,2018,€50.70m,€21.46m ,+€29.25m,19,17
Stade Rennais FC,273,France,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2018,2018,€18.50m,€18.00m ,+€500k,15,19
AS Saint-Étienne,618,France,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2018,2018,€18.70m,€15.00m ,+€3.70m,20,18
FC Nantes,995,France,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2018,2018,€11.20m,€14.35m ,€-3.15m ,18,16
FC Toulouse,415,France,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2018,2018,€35.50m,€18.45m ,+€17.05m,19,18
Montpellier HSC,969,France,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2018,2018,€25.50m,€10.15m ,+€15.35m,10,13
RC Strasbourg Alsace,667,France,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2018,2018,€14.00m,€15.75m ,€-1.75m ,12,16
Nîmes Olympique,1160,France,https://www.transfermarkt.com/nimes-olympique/startseite/verein/1160/saison_id/2018,2018,0,€3.15m ,€-3.15m ,8,13
Stade Reims,1421,France,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2018,2018,€11.00m,€15.50m ,€-4.50m ,14,15
Angers SCO,1420,France,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2018,2018,€21.00m,€4.45m ,+€16.55m,19,20
EA Guingamp,855,France,https://www.transfermarkt.com/ea-guingamp/startseite/verein/855/saison_id/2018,2018,€4.00m,€3.50m ,+€500k,13,13
Amiens SC,1416,France,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2018,2018,€10.00m,€7.49m ,+€2.51m,27,21
SM Caen,1162,France,https://www.transfermarkt.com/sm-caen/startseite/verein/1162/saison_id/2018,2018,€14.50m,€9.95m ,+€4.55m,24,25
Dijon FCO,2969,France,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2018,2018,€4.00m,€9.20m ,€-5.20m ,15,15
Paris Saint-Germain,583,France,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2019,2019,€105.90m,€95.00m ,+€10.90m,18,21
Olympique Lyon,1041,France,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2019,2019,€160.32m,€126.00m ,+€34.32m,14,16
AS Monaco,162,France,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2019,2019,€83.75m,€200.00m ,€-116.25m ,37,33
LOSC Lille,1082,France,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2019,2019,€151.00m,€99.40m ,+€51.60m,17,18
Olympique Marseille,244,France,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2019,2019,€27.25m,€27.00m ,+€250k,12,10
OGC Nice,417,France,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2019,2019,€23.11m,€52.20m ,€-29.09m ,16,15
Stade Rennais FC,273,France,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2019,2019,€54.50m,€58.10m ,€-3.60m ,21,22
FC Girondins Bordeaux,40,France,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2019,2019,€62.25m,€17.00m ,+€45.25m,19,18
FC Nantes,995,France,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2019,2019,€38.50m,€18.75m ,+€19.75m,20,22
AS Saint-Étienne,618,France,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2019,2019,€45.85m,€13.45m ,+€32.40m,17,25
RC Strasbourg Alsace,667,France,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2019,2019,€21.50m,€11.00m ,+€10.50m,13,8
Angers SCO,1420,France,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2019,2019,€34.00m,€10.40m ,+€23.60m,17,16
Montpellier HSC,969,France,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2019,2019,€40.00m,€20.30m ,+€19.70m,16,15
Stade Reims,1421,France,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2019,2019,€26.60m,€18.70m ,+€7.90m,20,19
FC Toulouse,415,France,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2019,2019,€17.15m,€14.00m ,+€3.15m,18,23
Amiens SC,1416,France,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2019,2019,€5.44m,€18.15m ,€-12.72m ,20,26
FC Metz,347,France,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2019,2019,€2.60m,€14.35m ,€-11.75m ,16,19
Dijon FCO,2969,France,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2019,2019,€24.50m,€10.47m ,+€14.04m,16,15
Nîmes Olympique,1160,France,https://www.transfermarkt.com/nimes-olympique/startseite/verein/1160/saison_id/2019,2019,€20.50m,€9.85m ,+€10.65m,17,17
Stade Brestois 29,3911,France,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2019,2019,€500k,€7.50m ,€-7.00m ,13,13
Paris Saint-Germain,583,France,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2020,2020,€400k,€62.00m ,€-61.60m ,15,15
Olympique Lyon,1041,France,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2020,2020,€50.60m,€36.69m ,+€13.91m,20,14
AS Monaco,162,France,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2020,2020,€13.53m,€52.70m ,€-39.17m ,32,32
LOSC Lille,1082,France,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2020,2020,€104.18m,€40.43m ,+€63.75m,14,15
Stade Rennais FC,273,France,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2020,2020,€55.42m,€70.56m ,€-15.14m ,22,16
Olympique Marseille,244,France,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2020,2020,€32.05m,€17.42m ,+€14.63m,12,11
OGC Nice,417,France,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2020,2020,€20.51m,€29.23m ,€-8.72m ,25,25
AS Saint-Étienne,618,France,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2020,2020,€44.10m,€5.60m ,+€38.50m,23,23
Montpellier HSC,969,France,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2020,2020,0,€13.10m ,€-13.10m ,8,10
Angers SCO,1420,France,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2020,2020,€10.70m,€11.25m ,€-550k ,14,17
RC Strasbourg Alsace,667,France,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2020,2020,€500k,€12.00m ,€-11.50m ,7,8
FC Girondins Bordeaux,40,France,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2020,2020,€17.00m,                    0                ,+€17.00m,13,14
Stade Reims,1421,France,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2020,2020,€17.00m,€11.20m ,+€5.80m,14,7
RC Lens,826,France,https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2020,2020,0,€19.00m ,€-19.00m ,14,15
FC Metz,347,France,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2020,2020,€10.00m,€14.70m ,€-4.70m ,20,24
Stade Brestois 29,3911,France,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2020,2020,€12.00m,€16.10m ,€-4.10m ,15,16
FC Nantes,995,France,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2020,2020,€2.00m,€5.00m ,€-3.00m ,13,11
