,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
1933,119277,2019,25,Bundesliga,VfL Wolfsburg,82,midfield,False,30,18,8,0,0,1.72,2,0,0,0,1,0,0,11,2,812,406,6800000.0
1935,280575,2019,21,Bundesliga,VfL Wolfsburg,82,midfield,False,12,0,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4000000.0
1938,119277,2020,26,Bundesliga,VfL Wolfsburg,82,midfield,False,34,29,14,0,0,1.76,2,0,4,0,3,0,0,8,5,1931,966,10000000.0
1939,223979,2020,22,Bundesliga,VfL Wolfsburg,82,midfield,False,32,32,14,0,0,1.72,2,0,4,0,7,0,0,2,15,2639,1320,27000000.0
1940,135617,2019,27,Ligue 1,Olympique Lyon,1041,midfield,True,22,22,9,0,0,1.36,0,0,6,0,2,1,0,1,5,1817,0,16000000.0
1942,336828,2019,21,Ligue 1,Olympique Lyon,1041,midfield,False,1,0,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5500000.0
1943,336828,2019,21,Ligue 1,Olympique Lyon,1041,midfield,False,1,0,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5500000.0
1946,395693,2019,21,Ligue 1,Olympique Lyon,1041,midfield,False,26,25,9,0,0,1.32,3,0,3,0,3,0,0,2,9,1963,654,49500000.0
1949,607223,2019,15,Ligue 1,Olympique Lyon,1041,midfield,False,12,6,9,0,0,1.0,0,0,0,0,0,0,0,5,1,139,0,18000000.0
1950,135617,2020,28,Ligue 1,Olympique Lyon,1041,midfield,False,33,32,11,0,0,2.03,0,0,1,0,5,0,1,9,5,2240,0,15000000.0
1951,326300,2020,22,Ligue 1,Olympique Lyon,1041,midfield,False,1,1,11,0,0,3.0,0,0,0,0,0,0,0,1,0,23,0,22000000.0
1952,395237,2020,20,Ligue 1,Olympique Lyon,1041,midfield,False,35,29,11,0,0,2.0,0,0,1,0,2,1,0,10,8,1761,0,17000000.0
1956,578872,2020,22,Ligue 1,Olympique Lyon,1041,midfield,False,18,8,11,0,0,2.13,0,0,0,0,1,0,0,7,1,166,0,4500000.0
1957,607223,2020,16,Ligue 1,Olympique Lyon,1041,midfield,False,37,27,11,0,0,1.78,1,0,3,0,1,0,1,22,4,679,679,27000000.0
1960,57051,2020,30,Bundesliga,FC Schalke 04,33,midfield,False,3,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,180,0,3000000.0
1961,118397,2020,26,Bundesliga,FC Schalke 04,33,midfield,False,29,19,1,0,0,0.42,0,0,0,0,0,0,0,9,7,940,0,1500000.0
1963,245537,2020,25,Bundesliga,FC Schalke 04,33,midfield,True,11,9,1,0,0,0.33,0,0,0,0,2,0,0,3,2,547,0,2000000.0
1964,261905,2020,23,Bundesliga,FC Schalke 04,33,midfield,False,25,25,1,0,0,0.36,1,1,3,0,3,0,0,1,6,1957,1957,9000000.0
1966,140757,2017,24,Serie A,Hellas Verona,276,midfield,False,17,17,0,0,0,0.76,1,0,2,0,5,0,0,2,5,1369,1369,4000000.0
1967,287700,2017,21,Serie A,Hellas Verona,276,midfield,False,31,30,0,0,0,0.7,0,1,1,0,12,0,0,1,2,2605,0,4500000.0
1969,215977,2017,23,Ligue 1,FC Nantes,995,midfield,False,37,36,12,0,0,1.33,5,0,4,0,4,0,0,7,16,2590,518,8000000.0
1970,332889,2017,22,Ligue 1,FC Nantes,995,midfield,False,34,32,12,0,0,1.13,1,0,2,0,1,0,0,3,14,2359,2359,9000000.0
1974,353403,2018,21,Ligue 1,FC Nantes,995,midfield,False,33,28,8,0,0,1.32,2,0,3,0,0,0,0,9,10,1678,839,5000000.0
1978,182618,2020,25,Serie A,SSC Napoli,6195,midfield,True,35,32,14,0,0,1.94,2,0,1,0,4,1,0,9,14,1970,985,20000000.0
