id,Season,income,expend,overall_balance,ARRIVALS,DEPARTURES,League name,Average age of players,Total market value
506,2019,203140000.0,230500000.0,-27360000.0,24,23,Serie A,27.0,420700000.0
46,2019,66739999.99999999,191720000.0,-124980000.0,45,49,Serie A,28.5,534450000.00000006
6195,2019,48720000.0,206520000.0,-157800000.0,39,45,Serie A,26.2,629000000.0
5,2019,59230000.0,124080000.0,-64849999.99999999,27,25,Serie A,27.0,547250000.0
12,2019,106380000.0,117400000.0,-11030000.0,37,39,Serie A,26.2,317150000.0
398,2019,35350000.0,49950000.0,-14600000.0,34,37,Serie A,27.2,274150000.0
430,2019,15320000.0,56540000.0,-41220000.0,46,48,Serie A,26.5,236300000.0
800,2019,105100000.0,60060000.0,45040000.0,70,78,Serie A,26.6,329500000.0
6574,2019,51950000.0,66340000.0,-14380000.0,49,53,Serie A,25.9,171400000.0
1390,2019,18860000.0,40100000.0,-21240000.0,30,34,Serie B,25.9,32799999.999999996
416,2019,24400000.0,28800000.0,-4400000.0,40,41,Serie A,24.6,169530000.0
252,2019,66349999.99999999,50370000.0,15980000.0,67,72,Serie B,26.4,52550000.0
1038,2019,74590000.0,65250000.0,9340000.0,40,47,Serie A,26.5,71450000.0
1025,2019,28680000.0,67040000.00000001,-38360000.0,40,38,Serie A,25.6,136100000.0
130,2019,18160000.0,23310000.0,-5150000.0,64,65,Serie B,24.9,45950000.0
410,2019,60270000.0,12600000.0,47670000.0,38,38,Serie A,25.4,143050000.0
276,2019,43670000.0,21190000.0,22480000.0,53,53,Serie A,26.4,84850000.0
19,2019,100000.0,18650000.0,-18550000.0,20,18,Serie B,25.1,24030000.0
2722,2019,39700000.0,26150000.0,13550000.0,34,39,Serie B,26.0,16280000.000000002
1005,2019,450000.0,6200000.0,-5750000.0,37,35,Serie A,24.5,94130000.0
46,2020,82950000.0,126500000.0,-43550000.0,39,34,Serie A,28.5,534450000.00000006
506,2020,110560000.0,158010000.0,-47450000.0,17,19,Serie A,27.0,420700000.0
5,2020,52090000.0,31920000.0,20170000.0,26,28,Serie A,27.0,547250000.0
6195,2020,123060000.0,77250000.0,45810000.0,37,36,Serie A,26.2,629000000.0
800,2020,75400000.0,62040000.0,13370000.0,57,61,Serie A,26.6,329500000.0
12,2020,49000000.0,72100000.0,-23100000.0,30,33,Serie A,26.2,317150000.0
398,2020,7850000.0,41700000.0,-33850000.0,27,27,Serie A,27.2,274150000.0
430,2020,59890000.0,55300000.0,4590000.0,43,45,Serie A,26.5,236300000.0
6574,2020,62360000.0,29660000.0,32700000.000000004,36,37,Serie A,25.9,171400000.0
1390,2020,42660000.0,34180000.0,8480000.0,33,31,Serie B,25.9,32799999.999999996
416,2020,27000000.0,46700000.0,-19700000.0,30,34,Serie A,24.6,169530000.0
410,2020,31550000.0,21500000.0,10050000.0,27,31,Serie A,25.4,143050000.0
276,2020,5400000.0,18950000.0,-13550000.0,49,51,Serie A,26.4,84850000.0
1025,2020,5000000.0,3150000.0,1850000.0,28,29,Serie A,25.6,136100000.0
130,2020,4000000.0,104330000.0,-100330000.0,45,57,Serie B,24.9,45950000.0
1038,2020,12100000.0,17750000.0,-5650000.0,33,32,Serie A,26.5,71450000.0
252,2020,67290000.0,64680000.00000001,2610000.0,58,56,Serie B,26.4,52550000.0
3522,2020,1960000.0,5140000.0,-3180000.0,28,35,Serie A,25.8,86300000.0
4083,2020,0.0,5490000.0,-5490000.0,28,34,Serie C - Girone C,27.0,8060000.000000001
4171,2020,1000000.0,11600000.0,-10600000.0,20,26,Serie B,26.7,23240000.0
506,2021,64030000.0,129500000.0,-65470000.0,15,18,Serie A,27.0,420700000.0
46,2021,205050000.0,42550000.0,162500000.0,35,34,Serie A,28.5,534450000.00000006
5,2021,5120000.0,93110000.0,-87990000.0,24,28,Serie A,27.0,547250000.0
6195,2021,3200000.0,23300000.0,-20100000.0,25,26,Serie A,26.2,629000000.0
800,2021,48990000.0,65200000.0,-16210000.0,62,68,Serie A,26.6,329500000.0
12,2021,17240000.0,127650000.0,-110420000.0,36,36,Serie A,26.2,317150000.0
430,2021,112200000.0,64400000.00000001,47800000.0,40,42,Serie A,26.5,236300000.0
398,2021,8900000.0,13800000.0,-4900000.0,33,33,Serie A,27.2,274150000.0
6574,2021,22800000.0,37120000.0,-14330000.0,45,46,Serie A,25.9,171400000.0
416,2021,16500000.0,13400000.0,3100000.0,30,31,Serie A,24.6,169530000.0
1025,2021,25000000.0,32310000.000000004,-7310000.0,34,35,Serie A,25.6,136100000.0
276,2021,37520000.0,42270000.0,-4760000.0,41,36,Serie A,26.4,84850000.0
410,2021,79630000.0,9400000.0,70230000.0,28,26,Serie A,25.4,143050000.0
1390,2021,7370000.0,15200000.0,-7830000.0,29,29,Serie B,25.9,32799999.999999996
1038,2021,9700000.0,14510000.0,-4810000.0,40,40,Serie A,26.5,71450000.0
749,2021,28200000.0,10500000.0,17700000.0,35,40,Serie A,25.2,103300000.0
252,2021,18620000.0,39100000.0,-20490000.0,61,70,Serie B,26.4,52550000.0
607,2021,200000.0,22090000.0,-21890000.0,30,35,Serie B,25.6,33030000.0
3522,2021,2200000.0,27790000.0,-25580000.0,40,36,Serie A,25.8,86300000.0
380,2021,0.0,14350000.0,-14350000.0,47,52,Serie A,26.8,99680000.0
27,2015,33000000.0,90750000.0,-57750000.0,10,10,Bundesliga,26.5,979700000.0
16,2015,42550000.0,20000000.0,22550000.0,15,12,Bundesliga,24.6,547700000.0
82,2015,111300000.0,68100000.0,43200000.0,12,13,Bundesliga,24.6,200700000.0
15,2015,63250000.0,58000000.0,5250000.0,18,23,Bundesliga,24.9,421850000.0
33,2015,57200000.0,37100000.0,20100000.0,17,16,Bundesliga,27.3,60400000.0
18,2015,15700000.0,38000000.0,-22300000.0,10,11,Bundesliga,26.0,223000000.0
533,2015,57150000.0,23400000.0,33750000.0,28,29,Bundesliga,25.9,154650000.0
39,2015,34200000.0,13850000.0,20350000.0,23,23,Bundesliga,25.1,113700000.0
79,2015,20550000.0,15670000.0,4880000.0,19,19,Bundesliga,23.6,115950000.0
44,2015,4920000.0,7300000.0,-2380000.0,11,13,Bundesliga,26.1,92350000.0
24,2015,12100000.0,11820000.0,280000.0,13,15,Bundesliga,25.1,294450000.0
167,2015,26900000.0,16700000.0,10200000.0,9,14,Bundesliga,25.3,117150000.0
3,2015,13050000.0,14780000.0,-1730000.0,15,12,Bundesliga,24.7,101930000.0
86,2015,19450000.0,12880000.0,6570000.0,16,23,Bundesliga,25.3,80550000.0
41,2015,13200000.0,21850000.0,-8650000.0,19,19,2. Bundesliga,23.6,37650000.0
42,2015,13500000.0,18400000.0,-4900000.0,18,21,2. Bundesliga,25.0,23530000.0
4795,2015,0.0,6200000.0,-6200000.0,9,6,3. Liga,24.3,7350000.0
105,2015,0.0,1100000.0,-1100000.0,11,16,2. Bundesliga,25.6,25680000.0
27,2016,52300000.0,70000000.0,-17700000.0,8,5,Bundesliga,26.5,979700000.0
16,2016,111000000.0,141100000.0,-30100000.0,8,12,Bundesliga,24.6,547700000.0
15,2016,23700000.0,63300000.0,-39600000.0,18,19,Bundesliga,24.9,421850000.0
33,2016,61300000.0,43300000.0,18000000.0,15,19,Bundesliga,27.3,60400000.0
82,2016,94450000.0,81050000.0,13400000.0,19,20,Bundesliga,24.6,200700000.0
23826,2016,100000.0,95950000.0,-95850000.0,13,12,Bundesliga,25.6,487300000.0
18,2016,45100000.0,41250000.0,3850000.0,10,14,Bundesliga,26.0,223000000.0
533,2016,37000000.0,27440000.0,9560000.0,24,24,Bundesliga,25.9,154650000.0
3,2016,19000000.0,8350000.0,10650000.0,8,11,Bundesliga,24.7,101930000.0
39,2016,25700000.0,29210000.0,-3510000.0,16,16,Bundesliga,25.1,113700000.0
44,2016,5000000.0,6700000.0,-1700000.0,10,7,Bundesliga,26.1,92350000.0
86,2016,27200000.0,23700000.0,3500000.0,20,18,Bundesliga,25.3,80550000.0
60,2016,5150000.0,16780000.0,-11630000.0,19,15,Bundesliga,26.2,161900000.0
41,2016,8750000.0,43950000.0,-35200000.0,17,18,2. Bundesliga,23.6,37650000.0
24,2016,12050000.0,3800000.0,8250000.0,16,16,Bundesliga,25.1,294450000.0
167,2016,15050000.0,23700000.0,-8650000.0,18,13,Bundesliga,25.3,117150000.0
4795,2016,4550000.0,7950000.0,-3400000.0,10,10,3. Liga,24.3,7350000.0
105,2016,5200000.0,4099999.9999999995,1100000.0,24,24,2. Bundesliga,25.6,25680000.0
